Sample_ID,Biosensor_Type,Pathogen_ID,Pathogen_Class,Microbial_Signature,Signal_Quality,Normalized_Data,Classification_Label
sample_0458,Electrochemical,pathogen_0458,Bacteria,"[0.3713537544661939, 0.6681256526808204, 0.5780652068708627]",1,"[0.5558142438868434, 1.0, 0.8652043287836731]",Salmonella
sample_0459,Mass-based,pathogen_0459,Virus,"[0.45941810809700456, 0.7231034178414092, 0.8186334742210801]",1,"[0.5612012244358018, 0.8833054603947552, 1.0]",Influenza
sample_0460,Electrochemical,pathogen_0460,Virus,"[0.5899472623831059, 0.4423429490923632, 0.45777021555152764]",1,"[1.0, 0.7498008335618144, 0.7759510802751318]",Influenza
sample_0461,Optical,pathogen_0461,Virus,"[0.18270174027582897, 0.32719557274740024, 0.07453939503064777]",0,"[0.5583869572002962, 1.0, 0.2278129694871919]",HIV
sample_0462,Optical,pathogen_0462,Bacteria,"[0.4043469879022878, 0.43059709163639803, 0.23266948921645617]",0,"[0.9390378982023497, 1.0, 0.5403415251418497]",Salmonella
sample_0463,Optical,pathogen_0463,Virus,"[0.9769190299183982, 0.24209910748260974, -0.04697332149417477]",1,"[1.0, 0.24781901065314718, -0.048083126703037445]",Hepatitis
sample_0464,Optical,pathogen_0464,Virus,"[0.3559247714909374, 0.43185978002357184, 0.5123357198146422]",1,"[0.6947100460215956, 0.8429234256393723, 1.0]",Influenza
sample_0465,Mass-based,pathogen_0465,Virus,"[0.4547852861097857, 0.634144784255476, 0.6559205218539232]",0,"[0.6933542570437652, 0.9668012558337109, 1.0]",HIV
sample_0466,Optical,pathogen_0466,Virus,"[0.22824214262761433, 0.31002216542926, 0.42906585867234853]",1,"[0.531951303079346, 0.7225514665477148, 1.0]",Influenza
sample_0467,Optical,pathogen_0467,Bacteria,"[0.5153991817193019, 0.3203480812623504, 0.7864632560644652]",1,"[0.6553379038944642, 0.4073274609997698, 1.0]",L. monocytogenes
sample_0468,Optical,pathogen_0468,Fungi,"[0.1993640006057409, 0.049218087584156356, 0.4762795715696595]",1,"[0.41858608369177636, 0.10333864923483882, 1.0]",Penicillium
sample_0469,Optical,pathogen_0469,Bacteria,"[0.7677940024473026, -0.017102642225746312, 0.5604534619401563]",1,"[1.0, -0.022275040142580627, 0.729952904234392]",Salmonella
sample_0470,Mass-based,pathogen_0470,Bacteria,"[0.5123521260878325, 0.837999666404631, 0.9429275339286965]",1,"[0.5433632041193276, 0.8887211755426371, 1.0]",L. monocytogenes
sample_0471,Mass-based,pathogen_0471,Fungi,"[0.6944754930839653, 0.48624207074186404, 0.5923964458375633]",1,"[1.0, 0.70015727780775, 0.8530127437714204]",Candida
sample_0472,Mass-based,pathogen_0472,Fungi,"[0.6356465916620185, 0.579263357981838, 0.5397903086102277]",1,"[1.0, 0.9112978274094795, 0.849198777576772]",Penicillium
sample_0473,Optical,pathogen_0473,Fungi,"[0.34416281516933006, 0.7964314403629267, 0.665711515173368]",1,"[0.43213112607972654, 1.0, 0.8358679497509657]",Penicillium
sample_0474,Electrochemical,pathogen_0474,Virus,"[0.5737050184526375, 0.555950870841259, 0.3788534928893286]",1,"[1.0, 0.9690535256964217, 0.6603628706458754]",Influenza
sample_0475,Mass-based,pathogen_0475,Bacteria,"[0.5408998974187896, 0.6467908989274607, 0.5631496534770583]",1,"[0.8362824806529212, 1.0, 0.8706827112300122]",E. coli
sample_0476,Electrochemical,pathogen_0476,Virus,"[0.3786696173444923, 0.5308815269061423, 0.5383230461077466]",1,"[0.7034244959089132, 0.9861764803580138, 1.0]",Hepatitis
sample_0477,Mass-based,pathogen_0477,Virus,"[0.8108832962020764, 0.648722171588281, 0.5954439823084668]",0,"[1.0, 0.8000191576601623, 0.7343152647210025]",Influenza
sample_0478,Optical,pathogen_0478,Bacteria,"[0.5821155547515136, 0.28242760574495085, 0.3889184447988257]",1,"[1.0, 0.48517446998218444, 0.6681120984043151]",E. coli
sample_0479,Optical,pathogen_0479,Bacteria,"[0.5320583054420756, 0.7263756126756699, 0.6164166550095466]",1,"[0.7324837124999158, 1.0, 0.8486197006792676]",Salmonella
sample_0480,Mass-based,pathogen_0480,Virus,"[0.932432906514929, 0.4663360090942177, 0.7247919632939026]",0,"[1.0, 0.5001282192379932, 0.777312724840324]",Hepatitis
sample_0481,Mass-based,pathogen_0481,Bacteria,"[0.6356212340109262, 0.7808289767247114, 0.41141401746131895]",1,"[0.8140338703580419, 1.0, 0.5268938906276871]",Salmonella
sample_0482,Optical,pathogen_0482,Virus,"[0.1463411975447378, 0.2336216563026537, 0.2656061211014593]",1,"[0.5509707266454024, 0.8795793385100947, 1.0]",Hepatitis
sample_0483,Optical,pathogen_0483,Fungi,"[0.2786444218293626, 0.568532259661131, 0.4067129024047718]",1,"[0.49011189267509, 1.0, 0.7153734823195252]",Aspergillus
sample_0484,Optical,pathogen_0484,Fungi,"[0.26584353827309226, 0.07530168242750118, 0.23215417495617605]",1,"[1.0, 0.2832556432127617, 0.8732737175567222]",Aspergillus
sample_0485,Mass-based,pathogen_0485,Fungi,"[0.796669483981834, 0.6269090919986076, 0.8262634041949732]",1,"[0.9641834310186199, 0.7587278933276778, 1.0]",Candida
sample_0486,Electrochemical,pathogen_0486,Virus,"[0.4065823937187248, 0.562864491607491, 0.4221463918042332]",1,"[0.7223450755572831, 1.0, 0.7499964877845121]",Influenza
sample_0487,Mass-based,pathogen_0487,Virus,"[0.5700695037824978, 0.779354578351976, 0.4715234241815626]",1,"[0.7314635977220629, 1.0, 0.6050178407608082]",HIV
sample_0488,Optical,pathogen_0488,Fungi,"[0.3906292957465425, 0.8958565592049105, 0.6307556260657075]",1,"[0.4360400018650679, 1.0, 0.7040810491196435]",Penicillium
sample_0489,Electrochemical,pathogen_0489,Bacteria,"[0.5130153021612768, 0.41012137761253115, 0.5548782963692771]",0,"[0.9245546375089428, 0.739119515569575, 1.0]",L. monocytogenes
sample_0490,Mass-based,pathogen_0490,Fungi,"[0.3781116092229345, 0.7413608005219057, 0.7310537224874227]",1,"[0.5100237414181465, 1.0, 0.98609708251741]",Penicillium
sample_0491,Mass-based,pathogen_0491,Virus,"[0.5664280247360942, 0.5321852948470553, 0.8426207685361297]",1,"[0.6722217703227749, 0.6315834058678752, 1.0]",Hepatitis
sample_0492,Optical,pathogen_0492,Bacteria,"[0.5295792652662846, 0.2294345273834536, 0.3228184520093574]",1,"[1.0, 0.4332392569563475, 0.6095753236241922]",E. coli
sample_0493,Optical,pathogen_0493,Virus,"[0.2644541975284582, 0.44753818991040994, 0.3238751592209539]",1,"[0.5909086721323107, 1.0, 0.7236816131507985]",Influenza
sample_0494,Optical,pathogen_0494,Fungi,"[0.3778800585928531, 0.09278112328295107, 0.12774695809614095]",1,"[1.0, 0.24553061526572403, 0.33806218452448666]",Candida
sample_0495,Electrochemical,pathogen_0495,Fungi,"[0.5770197357391031, 0.5710378952142374, 0.5105917284216511]",1,"[1.0, 0.9896332132952028, 0.8848774085129609]",Candida
sample_0496,Mass-based,pathogen_0496,Bacteria,"[0.6031412849843195, 0.4427195082499731, 0.6096055003814432]",1,"[0.9893960677961748, 0.7262393596726965, 1.0]",Salmonella
sample_0497,Mass-based,pathogen_0497,Bacteria,"[0.6510702171321722, 0.5755177131014824, 0.7283328129222745]",1,"[0.8939185569848168, 0.7901850677197211, 1.0]",L. monocytogenes
sample_0498,Mass-based,pathogen_0498,Bacteria,"[0.7372174810720238, 0.708173981346868, 0.6512082099524323]",1,"[1.0, 0.9606038916997435, 0.883332566945481]",Salmonella
sample_0499,Optical,pathogen_0499,Virus,"[0.07265055997767667, 0.5133193781239536, 0.7254268063652088]",1,"[0.10014871154499558, 0.7076101594535342, 1.0]",HIV
sample_0500,Mass-based,pathogen_0500,Bacteria,"[0.6105260007476406, 0.7179275848978475, 0.7469722684709955]",1,"[0.8173342258037883, 0.9611167846530626, 1.0]",E. coli
sample_0501,Mass-based,pathogen_0501,Fungi,"[0.7635106336432589, 0.5111458752402247, 0.5430262470222054]",1,"[1.0, 0.6694679192628658, 0.7112228999759128]",Penicillium
sample_0502,Optical,pathogen_0502,Fungi,"[0.447663133413132, 0.44041842827880684, 0.5519989115216949]",1,"[0.810985536509591, 0.7978610448066026, 1.0]",Candida
sample_0503,Mass-based,pathogen_0503,Bacteria,"[0.5752562383533636, 0.36297948652651424, 0.5949053438260914]",1,"[0.9669710388776205, 0.6101466229770899, 1.0]",L. monocytogenes
sample_0504,Mass-based,pathogen_0504,Fungi,"[0.7470448959132079, 0.4697132204839085, 0.6368867371941033]",1,"[1.0, 0.6287617023468427, 0.8525414478811956]",Aspergillus
sample_0505,Electrochemical,pathogen_0505,Bacteria,"[0.4436017168910744, 0.6168233995538199, 0.5404077319770559]",1,"[0.7191713498741363, 1.0, 0.8761141882230159]",L. monocytogenes
sample_0506,Mass-based,pathogen_0506,Fungi,"[0.7471720555323994, 0.7522601801998452, 0.6868994056636641]",1,"[0.9932362169348189, 1.0, 0.9131141375596707]",Candida
sample_0507,Electrochemical,pathogen_0507,Virus,"[0.5484004681769903, 0.444761598273928, 0.41262944176735983]",1,"[1.0, 0.8110160805522618, 0.7524235767686984]",Influenza
sample_0508,Electrochemical,pathogen_0508,Virus,"[0.5625774277525409, 0.5865309800630213, 0.5198911009883918]",1,"[0.9591606357981183, 1.0, 0.8863830192439806]",HIV
sample_0509,Mass-based,pathogen_0509,Virus,"[0.27028410515674256, 0.37205850549184893, 0.6366783569389224]",1,"[0.42452221315679395, 0.58437435706259, 1.0]",HIV
sample_0510,Electrochemical,pathogen_0510,Fungi,"[0.6178226703296532, 0.49682828423900843, 0.4083870013341186]",1,"[1.0, 0.8041600091720728, 0.6610100615379078]",Aspergillus
sample_0511,Electrochemical,pathogen_0511,Bacteria,"[0.43455455739399546, 0.6443408181953406, 0.6317248703772592]",1,"[0.6744172418116997, 1.0, 0.9804203808577331]",E. coli
sample_0512,Optical,pathogen_0512,Fungi,"[0.3981179650017158, 0.3624893806650776, 0.6261946990833935]",1,"[0.6357734512675848, 0.5788764759517758, 1.0]",Penicillium
sample_0513,Electrochemical,pathogen_0513,Virus,"[0.37043142602364876, 0.49555489561299965, 0.5381267408452459]",1,"[0.6883720839477426, 0.9208888129859931, 1.0]",Hepatitis
sample_0514,Optical,pathogen_0514,Virus,"[0.49134453902670683, 0.4740940943858092, 0.3166066481273962]",1,"[1.0, 0.9648913475764508, 0.6443678986532649]",HIV
sample_0515,Optical,pathogen_0515,Fungi,"[0.41134676636063366, 0.5265664283321276, 0.49074659374430235]",1,"[0.7811868441054125, 1.0, 0.9319747088676299]",Penicillium
sample_0516,Optical,pathogen_0516,Bacteria,"[0.8299101709000559, 0.46427026908151126, -0.04960250170207081]",1,"[1.0, 0.5594223150416386, -0.05976851886063259]",Salmonella
sample_0517,Optical,pathogen_0517,Virus,"[0.2210526969775961, 0.5485598334107163, 0.706619540941512]",1,"[0.31283128213955375, 0.776315685637289, 1.0]",HIV
sample_0518,Mass-based,pathogen_0518,Fungi,"[0.7144158832569896, 0.7231235380785829, 0.7286707783485022]",1,"[0.9804371253588339, 0.9923871789088456, 1.0]",Aspergillus
sample_0519,Mass-based,pathogen_0519,Fungi,"[0.45506817687644824, 0.5721191392431918, 0.6021793811930995]",0,"[0.755702023498082, 0.9500809179312163, 1.0]",Candida
sample_0520,Optical,pathogen_0520,Bacteria,"[0.5614229635849268, 0.4880184792297672, 0.4651498832326951]",1,"[1.0, 0.8692527931411276, 0.8285195180875988]",Salmonella
sample_0521,Electrochemical,pathogen_0521,Virus,"[0.607155747439566, 0.5966771690436279, 0.5716308581611309]",1,"[1.0, 0.9827415314107998, 0.9414896598965801]",Hepatitis
sample_0522,Optical,pathogen_0522,Virus,"[0.5379850593773836, 0.6794483295066533, 0.4754957240574935]",1,"[0.791796868156279, 1.0, 0.6998261728051498]",Influenza
sample_0523,Electrochemical,pathogen_0523,Fungi,"[0.6468056046770507, 0.5437964623415659, 0.5822679327601059]",1,"[1.0, 0.8407417289049046, 0.9002209142124419]",Penicillium
sample_0524,Mass-based,pathogen_0524,Fungi,"[0.6133250557619557, 0.49776937052313747, 0.7213988246690761]",1,"[0.8501885985790224, 0.6900057963796612, 1.0]",Penicillium
sample_0525,Optical,pathogen_0525,Virus,"[0.36394763329055224, 0.4988655799493257, 0.5559152562023068]",1,"[0.6546818588445172, 0.8973770271341146, 1.0]",Influenza
sample_0526,Electrochemical,pathogen_0526,Bacteria,"[0.33069706367463114, 0.44205866444687647, 0.43372861007482266]",1,"[0.7480841125202558, 1.0, 0.9811562241801622]",Salmonella
sample_0527,Electrochemical,pathogen_0527,Bacteria,"[0.5605511058128146, 0.4543505448806771, 0.47505081963507945]",1,"[1.0, 0.8105425895500754, 0.8474710239778095]",L. monocytogenes
sample_0528,Mass-based,pathogen_0528,Fungi,"[0.38550438566854145, 0.64170961026303, 0.829107930360164]",0,"[0.46496284928920967, 0.7739759647266572, 1.0]",Candida
sample_0529,Mass-based,pathogen_0529,Bacteria,"[0.42808180468096735, 0.5310194170109821, 0.7540337401283171]",1,"[0.5677223470240454, 0.7042382704527469, 1.0]",E. coli
sample_0530,Electrochemical,pathogen_0530,Bacteria,"[0.5773109635000051, 0.5420570889455186, 0.45177316546080715]",1,"[1.0, 0.9389343407913885, 0.7825473514687603]",L. monocytogenes
sample_0531,Mass-based,pathogen_0531,Bacteria,"[0.6873084461566399, 0.5315751333809279, 0.4218535790018615]",1,"[1.0, 0.7734156860045048, 0.6137762184661407]",E. coli
sample_0532,Optical,pathogen_0532,Fungi,"[0.4858045035872925, 0.25112566198483227, 0.4511212940529055]",1,"[1.0, 0.5169274062518203, 0.9286066529266852]",Candida
sample_0533,Electrochemical,pathogen_0533,Bacteria,"[0.5893071339432505, 0.4782859795446318, 0.6653131765462956]",1,"[0.8857589999981667, 0.7188884820040091, 1.0]",L. monocytogenes
sample_0534,Optical,pathogen_0534,Fungi,"[0.31762591953695163, 0.6087857089002437, 0.3711228586431435]",1,"[0.5217368195300363, 1.0, 0.6096116469513841]",Penicillium
sample_0535,Electrochemical,pathogen_0535,Fungi,"[0.4702537350347731, 0.5536272173327508, 0.4804467426037732]",1,"[0.8494050153465141, 1.0, 0.8678163348226549]",Penicillium
sample_0536,Electrochemical,pathogen_0536,Fungi,"[0.30429972934151683, 0.49709548115948554, 0.509365182656463]",1,"[0.5974097557169493, 0.975911778200096, 1.0]",Penicillium
sample_0537,Electrochemical,pathogen_0537,Virus,"[0.5506179466632118, 0.35431295267408847, 0.6190986991163243]",1,"[0.8893863732053402, 0.5723044696747385, 1.0]",Influenza
sample_0538,Electrochemical,pathogen_0538,Bacteria,"[0.570662136131966, 0.5213818461557259, 0.3588130409738195]",1,"[1.0, 0.9136436660923933, 0.6287661617185755]",L. monocytogenes
sample_0539,Electrochemical,pathogen_0539,Fungi,"[0.4945918056762311, 0.4710115906333074, 0.36547744030120133]",1,"[1.0, 0.9523238865417843, 0.7389476253079081]",Aspergillus
sample_0540,Optical,pathogen_0540,Fungi,"[0.5114062983476289, 0.31080637548980794, 0.4503022405307322]",1,"[1.0, 0.6077484311281146, 0.8805175884334512]",Candida
sample_0541,Electrochemical,pathogen_0541,Virus,"[0.4654898245529136, 0.5812875586079945, 0.6065645531630097]",1,"[0.7674200909458958, 0.9583276101064511, 1.0]",HIV
sample_0542,Optical,pathogen_0542,Bacteria,"[0.6010418158223318, 0.34731135286935766, 0.5877361061738408]",1,"[1.0, 0.5778489012352229, 0.9778622563385435]",E. coli
sample_0543,Electrochemical,pathogen_0543,Fungi,"[0.5246323445932684, 0.48792736764947536, 0.4824519833746948]",1,"[1.0, 0.9300367632265425, 0.9196001511281682]",Candida
sample_0544,Mass-based,pathogen_0544,Bacteria,"[0.36593261821448125, 0.6375530924716561, 0.550388055532405]",1,"[0.5739641490810424, 1.0, 0.8632819164889766]",Salmonella
sample_0545,Mass-based,pathogen_0545,Bacteria,"[0.7281806278408612, 0.8010484360590002, 0.6359369104155432]",1,"[0.9090344541752878, 1.0, 0.7938807215506555]",Salmonella
sample_0546,Mass-based,pathogen_0546,Virus,"[0.48250862861967814, 0.3403554263664078, 0.6649252253042932]",1,"[0.7256584804687853, 0.511870227529192, 1.0]",Hepatitis
sample_0547,Optical,pathogen_0547,Virus,"[0.37070921754359326, 0.4528689168781984, 0.7362910700328258]",1,"[0.5034818873018059, 0.6150677840735028, 1.0]",Hepatitis
sample_0548,Mass-based,pathogen_0548,Bacteria,"[0.704851708757401, 0.5882960746172774, 0.918350371824252]",1,"[0.7675193808189484, 0.640600899903443, 1.0]",L. monocytogenes
sample_0549,Mass-based,pathogen_0549,Bacteria,"[0.29325770000977064, 0.6444873208799371, 0.484714695933863]",1,"[0.45502477784881395, 1.0, 0.7520934551079579]",E. coli
sample_0550,Optical,pathogen_0550,Virus,"[0.6325183390296439, 0.39916248307116026, 0.5383735442128238]",1,"[1.0, 0.631068632228943, 0.8511587901763463]",Hepatitis
sample_0551,Electrochemical,pathogen_0551,Virus,"[0.5152447757815813, 0.5069913433546342, 0.36546488988219694]",1,"[1.0, 0.983981531080199, 0.7093034360762195]",Hepatitis
sample_0552,Electrochemical,pathogen_0552,Virus,"[0.49743698504813805, 0.5220788073326864, 0.570787097412921]",1,"[0.8714930440837914, 0.914664696695136, 1.0]",Influenza
sample_0553,Electrochemical,pathogen_0553,Virus,"[0.4705095404454369, 0.3795974579171334, 0.40280598336680673]",1,"[1.0, 0.8067795130312639, 0.856105878289876]",Hepatitis
sample_0554,Electrochemical,pathogen_0554,Bacteria,"[0.3711356039792231, 0.29237589275657616, 0.5110548143055368]",1,"[0.7262148669581611, 0.5721028049679573, 1.0]",L. monocytogenes
sample_0555,Optical,pathogen_0555,Fungi,"[0.30104319940020907, 0.2692617877158616, 0.4508425253885938]",1,"[0.6677347021351446, 0.5972413260789393, 1.0]",Penicillium
sample_0556,Mass-based,pathogen_0556,Bacteria,"[0.7320781086739121, 0.2874566493981638, 0.4096462604909876]",0,"[1.0, 0.3926584417595322, 0.5595663299275835]",Salmonella
sample_0557,Electrochemical,pathogen_0557,Bacteria,"[0.7207816764039009, 0.42186407374628576, 0.48895921629627503]",1,"[1.0, 0.5852869010919305, 0.6783735384836272]",E. coli
sample_0558,Electrochemical,pathogen_0558,Fungi,"[0.4787553736097112, 0.627192054896537, 0.5660419489609064]",1,"[0.7633313749305829, 1.0, 0.9025017848070189]",Aspergillus
sample_0559,Electrochemical,pathogen_0559,Bacteria,"[0.4696998304230553, 0.4255969832770362, 0.386508199502579]",1,"[1.0, 0.9061041876334169, 0.8228834129117181]",E. coli
sample_0560,Optical,pathogen_0560,Virus,"[0.509798107261472, 0.3192373671205088, 0.6759324010329193]",1,"[0.7542146322360478, 0.47229185438169474, 1.0]",Hepatitis
sample_0561,Mass-based,pathogen_0561,Fungi,"[0.7906073077893827, 0.3289018449987727, 0.41465633771831584]",1,"[1.0, 0.416011642895656, 0.5244782506219636]",Aspergillus
sample_0562,Optical,pathogen_0562,Fungi,"[0.6860272036025206, 0.20637624080660558, 0.47577041285188504]",1,"[1.0, 0.3008280717191188, 0.6935153742497114]",Penicillium
sample_0563,Optical,pathogen_0563,Fungi,"[0.8523165475386897, 0.2621322971017944, 0.12560861765079584]",1,"[1.0, 0.3075527488686887, 0.1473732007357208]",Candida
sample_0564,Electrochemical,pathogen_0564,Fungi,"[0.4056267210090438, 0.5670048901084254, 0.4907248428829354]",1,"[0.7153848724858051, 1.0, 0.8654684491153095]",Candida
sample_0565,Mass-based,pathogen_0565,Virus,"[0.5697747860951248, 0.5305768043839577, 0.6172093444972985]",0,"[0.9231467267547481, 0.8596383206351148, 1.0]",HIV
sample_0566,Electrochemical,pathogen_0566,Fungi,"[0.5799009449537131, 0.47848889685727414, 0.4876672803912111]",1,"[1.0, 0.8251217747118285, 0.8409492770013265]",Candida
sample_0567,Optical,pathogen_0567,Bacteria,"[0.27149163483565686, 0.45182425981966634, 0.06612764496760931]",1,"[0.6008788349346614, 1.0, 0.1463570039244958]",Salmonella
sample_0568,Optical,pathogen_0568,Virus,"[0.6157982294973129, 0.380884237771347, 0.21729915212794096]",1,"[1.0, 0.6185211641194058, 0.3528739475352603]",Influenza
sample_0569,Optical,pathogen_0569,Bacteria,"[0.5576604714135769, 0.23695800946508008, 0.49203320606945916]",0,"[1.0, 0.4249144804264695, 0.8823168061782046]",L. monocytogenes
sample_0570,Electrochemical,pathogen_0570,Virus,"[0.464659675821602, 0.42179901262377917, 0.394503533087565]",1,"[1.0, 0.9077590214342627, 0.8490160726557812]",Influenza
sample_0571,Mass-based,pathogen_0571,Virus,"[0.9666650254187195, 0.742684430201819, 0.60149561199707]",1,"[1.0, 0.7682955425847943, 0.6222378964590416]",Hepatitis
sample_0572,Electrochemical,pathogen_0572,Fungi,"[0.5406735302449214, 0.46505078953130863, 0.38789186113643925]",1,"[1.0, 0.8601323414531572, 0.7174234347309862]",Candida
sample_0573,Mass-based,pathogen_0573,Virus,"[0.5240887108767854, 0.6749096667508073, 0.7782080163601992]",1,"[0.673455811118511, 0.8672612624931128, 1.0]",Influenza
sample_0574,Optical,pathogen_0574,Virus,"[0.3623084362454562, 0.5713134338897754, 0.37863005951809076]",1,"[0.6341675422870541, 1.0, 0.6627361393205757]",Hepatitis
sample_0575,Electrochemical,pathogen_0575,Bacteria,"[0.732266805562874, 0.4496124152779985, 0.44316464071422]",1,"[1.0, 0.614000814815569, 0.6051955890224617]",E. coli
sample_0576,Mass-based,pathogen_0576,Bacteria,"[0.4681946313758388, 0.5501794117086776, 0.5524772456742979]",1,"[0.8474459989830128, 0.9958408532050658, 1.0]",L. monocytogenes
sample_0577,Optical,pathogen_0577,Virus,"[0.24798738723443137, 0.8498560137239408, 0.3607040806831855]",1,"[0.2917992968571088, 1.0, 0.4244296385015088]",Influenza
sample_0578,Mass-based,pathogen_0578,Bacteria,"[0.6999926989242851, 0.5221565621607818, 0.7556608165213891]",0,"[0.926331872210383, 0.6909933011539207, 1.0]",L. monocytogenes
sample_0579,Mass-based,pathogen_0579,Bacteria,"[0.4558380741672786, 0.5577593761425824, 0.608705671177163]",1,"[0.7488645099785961, 0.9163038929207664, 1.0]",L. monocytogenes
sample_0580,Optical,pathogen_0580,Fungi,"[0.3056375821009251, -0.0059736870269098685, 0.5716195199440698]",1,"[0.5346870976883894, -0.010450460172343948, 1.0]",Candida
sample_0581,Mass-based,pathogen_0581,Fungi,"[0.7591148263544905, 0.6062012511188272, 0.37397137275221937]",1,"[1.0, 0.798563313576679, 0.4926413762041089]",Aspergillus
sample_0582,Mass-based,pathogen_0582,Bacteria,"[0.5278581703181129, 0.5177422594807581, 0.5456874124224507]",1,"[0.967327004987729, 0.9487890827137891, 1.0]",Salmonella
sample_0583,Optical,pathogen_0583,Bacteria,"[0.4038441864675821, 0.40059097858354464, 0.823567634628273]",0,"[0.4903594671369789, 0.4864093266175475, 1.0]",L. monocytogenes
sample_0584,Mass-based,pathogen_0584,Virus,"[0.7468101011249494, 0.5889528206886299, 0.6945527115276305]",1,"[1.0, 0.7886246045701137, 0.9300258666579342]",Influenza
sample_0585,Optical,pathogen_0585,Bacteria,"[0.6082201027308415, 0.32265422377300135, 0.3534496148925971]",1,"[1.0, 0.530489246120474, 0.581121231122824]",L. monocytogenes
sample_0586,Optical,pathogen_0586,Bacteria,"[0.24042702556604337, 0.24497536325528013, -0.31808992561778315]",1,"[0.9814334893566538, 1.0, -1.2984567974140033]",Salmonella
sample_0587,Electrochemical,pathogen_0587,Fungi,"[0.5962001088767703, 0.5156684369995084, 0.3059567709168406]",1,"[1.0, 0.864925096996406, 0.5131779856485725]",Penicillium
sample_0588,Electrochemical,pathogen_0588,Virus,"[0.39378938594461, 0.5016321615203873, 0.3545420979368824]",1,"[0.7850162253374691, 1.0, 0.7067770472736589]",HIV
sample_0589,Electrochemical,pathogen_0589,Virus,"[0.6319253618571095, 0.4965609174974932, 0.5055234985879707]",1,"[1.0, 0.7857904548065523, 0.7999734289858734]",HIV
sample_0590,Mass-based,pathogen_0590,Bacteria,"[0.7042735471241734, 0.4093240409865945, 0.3329710612179013]",1,"[1.0, 0.5812003626403773, 0.4727865508757974]",L. monocytogenes
sample_0591,Electrochemical,pathogen_0591,Bacteria,"[0.6069306328770192, 0.659728627711256, 0.5582622919325116]",1,"[0.9199701322384559, 1.0, 0.8461998895958882]",L. monocytogenes
sample_0592,Electrochemical,pathogen_0592,Bacteria,"[0.6301071811617818, 0.5557675018270456, 0.489143925181171]",1,"[1.0, 0.8820205806928436, 0.7762868600851288]",E. coli
sample_0593,Mass-based,pathogen_0593,Fungi,"[0.6480189915769192, 0.7021581630229249, 0.652638845126352]",1,"[0.922896044941034, 1.0, 0.9294755505178736]",Candida
sample_0594,Electrochemical,pathogen_0594,Bacteria,"[0.5593071550166947, 0.3516543088640163, 0.5270175434394269]",1,"[1.0, 0.6287320047845978, 0.9422685526411618]",E. coli
sample_0595,Electrochemical,pathogen_0595,Virus,"[0.6124984952347161, 0.6860488863272556, 0.6963783372303609]",0,"[0.8795484616462194, 0.9851668980052026, 1.0]",Influenza
sample_0596,Electrochemical,pathogen_0596,Virus,"[0.5620547247422485, 0.4471648068799092, 0.4909717797920589]",1,"[1.0, 0.7955894456451258, 0.873530206542099]",Hepatitis
sample_0597,Mass-based,pathogen_0597,Virus,"[0.7737178768708791, 1.0284881759152265, 0.5048466601010124]",1,"[0.752286603764177, 1.0, 0.4908628722462091]",Influenza
sample_0598,Mass-based,pathogen_0598,Fungi,"[0.46521192545128603, 0.8638454277351932, 0.884465332782143]",1,"[0.5259809607098243, 0.9766865876109712, 1.0]",Candida
sample_0599,Mass-based,pathogen_0599,Virus,"[0.5279951545502671, 0.7650914094731661, 0.6774613209097097]",1,"[0.6901072839307385, 1.0, 0.8854645504073851]",Hepatitis
sample_0600,Mass-based,pathogen_0600,Fungi,"[0.5506306920567186, 0.7211660366494309, 0.6230288754782934]",1,"[0.7635283195184467, 1.0, 0.863918770180738]",Aspergillus
sample_0601,Mass-based,pathogen_0601,Virus,"[0.36855229498516484, 0.6357086138505285, 0.6448702753546949]",1,"[0.5715138518091127, 0.9857930162789295, 1.0]",HIV
sample_0602,Electrochemical,pathogen_0602,Fungi,"[0.5413613130308345, 0.5239764908860862, 0.43294247273806313]",0,"[1.0, 0.9678868405881857, 0.7997292424059935]",Aspergillus
sample_0603,Electrochemical,pathogen_0603,Fungi,"[0.48920460524840387, 0.638353174782697, 0.3042816140587048]",1,"[0.7663541509211337, 1.0, 0.47666656339930613]",Candida
sample_0604,Optical,pathogen_0604,Fungi,"[0.43720586844658677, 0.726666986892965, 0.21112339005750794]",0,"[0.6016591868525126, 1.0, 0.29053664727527456]",Candida
sample_0605,Mass-based,pathogen_0605,Bacteria,"[0.5963482959757016, 0.2854046958293361, 0.39559083126715705]",1,"[1.0, 0.47858725807605057, 0.6633553477668954]",Salmonella
sample_0606,Mass-based,pathogen_0606,Virus,"[0.7084237953237591, 0.6495632709010369, 0.6886641951895546]",0,"[1.0, 0.9169134001267955, 0.9721076560885789]",HIV
sample_0607,Optical,pathogen_0607,Bacteria,"[0.035270853612449526, 0.5247066558122093, 0.231788034310174]",1,"[0.06722013761737537, 1.0, 0.4417478447102644]",Salmonella
sample_0608,Mass-based,pathogen_0608,Bacteria,"[0.6180389030162814, 0.569408534804281, 0.7585152066021427]",1,"[0.8148009395683163, 0.750688357791814, 1.0]",Salmonella
sample_0609,Optical,pathogen_0609,Bacteria,"[0.45762822008014414, 0.8568756307627771, 0.5284272662033761]",1,"[0.5340660927336337, 1.0, 0.6166907392768056]",E. coli
sample_0610,Mass-based,pathogen_0610,Virus,"[1.081646137581298, 0.40775943960096106, 0.7066654822403424]",1,"[1.0, 0.37698044252509827, 0.6533240934235097]",HIV
